id,week_of_outbreak,state_ut,district,disease,cases,deaths,day,month,year,latitude,longitude,precipitation,lai,temp,disease_category,death_rate,date,lag_1,lag_2,lag_3,lag_6,lag_12,roll_3_mean,roll_6_mean,roll_3_std,roll_6_std,month_sin,month_cos,temp_change,precipitation_change,lai_change,spike_ratio,acceleration,growth_rate,outbreak_flag,outbreak_frequency_12m,log_cases,outbreak
837,23rd week,Andaman and Nicobar Islands,Andaman,Acute Diarrhoeal Disease,8.0,1,6,6,2019,13.51111965,92.91738842,0.77260494,33.0,301.72,Diarrheal Diseases,0.1111111111111111,2019-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0,8.0,0.0,0.0,0,0.0,2.1972245773362196,0
1192,41st week,Andaman and Nicobar Islands,Andaman,Acute Diarrhoeal Disease,30.0,1,9,10,2019,13.51111965,92.91738842,0.149857515,42.0,298.9066666,Diarrheal Diseases,0.03225806451612903,2019-10-01,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844386,0.5000000000000001,-2.813333400000033,-0.622747425,9.0,30.0,8.0,8.0,0,0.0,3.4339872044851463,0
6193,51st week,Andaman and Nicobar Islands,North and Middle Andaman,Acute Diarrhoeal Disease,86.0,1,16,12,2013,12.61123865,92.83165406,0.188149374,53.0,298.2,Diarrheal Diseases,0.011494252873563218,2013-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4492935982947064e-16,1.0,0.0,0.0,0.0,86.0,0.0,0.0,1,0.0,4.465908118654584,1
6526,25th week,Andhra Pradesh,Anantapur,Acute Diarrhoeal Disease,23.0,0,26,6,2011,14.6546235,77.55625984,0.027714734,3.5,307.82,Diarrheal Diseases,0.0,2011-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0,23.0,0.0,0.0,0,0.0,3.1780538303479458,0
7342,25th week,Andhra Pradesh,Anantapur,Acute Diarrhoeal Disease,23.0,0,26,6,2011,14.6546235,77.55625984,0.027714734,3.5,307.82,Diarrheal Diseases,0.0,2011-06-01,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0,23.0,23.0,23.0,0,0.0,3.1780538303479458,0
7383,26th week,Andhra Pradesh,Anantapur,Acute Diarrhoeal Disease,82.0,0,26,6,2011,14.6546235,77.55625984,0.027714734,3.5,307.82,Diarrheal Diseases,0.0,2011-06-01,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0,82.0,0.0,23.0,1,0.0,4.418840607796598,1
7638,35th week,Andhra Pradesh,Anantapur,Acute Diarrhoeal Disease,25.0,0,3,9,2011,14.6546235,77.55625984,0.252142797,7.0,303.3241667,Diarrheal Diseases,0.0,2011-09-01,82.0,23.0,23.0,0.0,0.0,42.666666666666664,0.0,34.06366588218792,0.0,-1.0,-1.8369701987210297e-16,-4.495833300000015,0.22442806299999998,3.5,0.5725190839694657,59.0,2.4583333333333335,0,0.0,3.258096538021482,0
6422,21st week,Andhra Pradesh,Anantapur,Acute Diarrhoeal Disease,25.0,0,18,5,2012,14.6546235,77.55625984,0.082897978,3.0,312.8,Diarrheal Diseases,0.0,2012-05-01,25.0,82.0,23.0,0.0,0.0,43.333333333333336,0.0,33.50124375800596,0.0,0.49999999999999994,-0.8660254037844387,9.475833300000033,-0.169244819,-4.0,0.5639097744360902,-57.0,0.08333333333333333,0,0.0,3.258096538021482,0
5493,23rd week,Andhra Pradesh,Anantapur,Acute Diarrhoeal Disease,59.0,0,4,6,2013,14.6546235,77.55625984,0.19609677,2.0,307.905,Diarrheal Diseases,0.0,2013-06-01,25.0,25.0,82.0,0.0,0.0,44.0,0.0,32.90896534380867,0.0,1.2246467991473532e-16,-1.0,-4.895000000000039,0.113198792,-1.0,1.3111111111111111,0.0,-0.6867469879518072,1,0.0,4.0943445622221,1
5751,32nd week,Andhra Pradesh,Anantapur,Acute Diarrhoeal Disease,34.0,2,5,8,2013,14.6546235,77.55625984,0.03424359,9.0,308.62,Diarrheal Diseases,0.05714285714285714,2013-08-01,59.0,25.0,25.0,23.0,0.0,36.333333333333336,39.5,19.629909152447276,25.105776227792678,-0.8660254037844385,-0.5000000000000004,0.7150000000000318,-0.16185318,7.0,0.9107142857142857,34.0,1.3076923076923077,0,0.0,3.5553480614894135,0
4787,26th week,Andhra Pradesh,Anantapur,Acute Diarrhoeal Disease,12.0,0,27,6,2014,14.6546235,77.55625984,0.006856511,3.0,307.905,Diarrheal Diseases,0.0,2014-06-01,34.0,59.0,25.0,23.0,0.0,39.333333333333336,41.333333333333336,17.61628034896508,24.038857432637407,1.2246467991473532e-16,-1.0,-0.7150000000000318,-0.027387078999999998,-6.0,0.2975206611570248,-25.0,0.34615384615384615,0,0.0,2.5649493574615367,0
3973,25th week,Andhra Pradesh,Anantapur,Acute Diarrhoeal Disease,71.0,0,15,6,2015,14.6546235,77.55625984,0.159240505,5.0,313.15,Diarrheal Diseases,0.0,2015-06-01,12.0,34.0,59.0,82.0,0.0,35.0,39.5,23.515952032609693,26.05187133393684,1.2246467991473532e-16,-1.0,5.2450000000000045,0.152383994,2.0,1.9722222222222223,-22.0,-0.7833333333333333,1,0.0,4.276666119016055,1
2908,22nd week,Andhra Pradesh,Anantapur,Acute Diarrhoeal Disease,11.0,0,2,6,2016,14.6546235,77.55625984,0.097205406,4.0,312.5,Diarrheal Diseases,0.0,2016-06-01,71.0,12.0,34.0,25.0,0.0,39.0,37.666666666666664,29.816103031751148,22.624470527874607,1.2246467991473532e-16,-1.0,-0.6499999999999773,-0.06203509900000001,-1.0,0.275,59.0,1.0571428571428572,0,0.0,2.4849066497880004,0
226,8th week,Andhra Pradesh,Anantapur,Acute Diarrhoeal Disease,30.0,0,5,3,2021,14.6546235,77.55625984,3.87e-05,9.0,313.216,Diarrheal Diseases,0.0,2021-03-01,11.0,71.0,12.0,25.0,0.0,31.333333333333332,35.333333333333336,34.35597958628648,24.80860065918001,1.0,6.123233995736766e-17,0.7160000000000082,-0.09716670599999999,5.0,0.9278350515463919,-60.0,-0.07692307692307693,0,0.0,3.4339872044851463,0
231,9th week,Andhra Pradesh,Anantapur,Acute Diarrhoeal Disease,30.0,0,5,3,2021,14.6546235,77.55625984,3.87e-05,9.0,313.216,Diarrheal Diseases,0.0,2021-03-01,30.0,11.0,71.0,59.0,0.0,37.333333333333336,36.166666666666664,30.664855018951798,24.473795510028,1.0,6.123233995736766e-17,0.0,0.0,0.0,0.7826086956521738,19.0,-0.5694444444444444,0,0.0,3.4339872044851463,0
7026,51st week,Andhra Pradesh,Anantapur,Cholera,23.0,0,20,12,2012,14.6546235,77.55625984,9.79e-05,6.0,306.06,Diarrheal Diseases,0.0,2012-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4492935982947064e-16,1.0,-7.156000000000006,5.9199999999999996e-05,-3.0,23.0,0.0,0.0,0,0.0,3.1780538303479458,0
8192,24th week,Andhra Pradesh,Anantapur,Malaria,68.0,0,9,6,2010,14.6546235,77.55625984,0.254048338,3.5,311.175,Malaria,0.0,2010-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2246467991473532e-16,-1.0,5.115000000000009,0.253950438,-2.5,68.0,0.0,0.0,1,0.0,4.23410650459726,1
8035,15th week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,14.0,1,3,4,2010,13.1601048,79.15555062,0.050939874,7.0,310.872,Diarrheal Diseases,0.06666666666666667,2010-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844387,-0.4999999999999998,0.0,0.0,0.0,14.0,0.0,0.0,0,0.0,2.70805020110221,0
8069,18th week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,30.0,1,27,4,2010,13.1601048,79.15555062,0.007357521,7.0,309.852,Diarrheal Diseases,0.03225806451612903,2010-04-01,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844387,-0.4999999999999998,-1.0200000000000387,-0.043582353000000004,0.0,30.0,14.0,14.0,0,0.0,3.4339872044851463,0
8114,20th week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,37.0,1,17,5,2010,13.1601048,79.15555062,0.002323593,11.0,310.656,Diarrheal Diseases,0.02631578947368421,2010-05-01,30.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,-0.8660254037844387,0.8040000000000305,-0.005033928,4.0,37.0,16.0,30.0,0,0.0,3.6375861597263857,0
8130,21st week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,44.0,1,19,5,2010,13.1601048,79.15555062,0.033875874,11.0,309.925,Diarrheal Diseases,0.022222222222222223,2010-05-01,37.0,30.0,14.0,0.0,0.0,27.0,0.0,11.789826122551595,0.0,0.49999999999999994,-0.8660254037844387,-0.7309999999999945,0.031552281,0.0,1.5714285714285714,7.0,1.5333333333333334,0,0.0,3.8066624897703196,0
