id,week_of_outbreak,state_ut,district,Disease,Cases,Deaths,day,month,year,Latitude,Longitude,precipitation,LAI,Temp,Disease_Category
0,1st week,Meghalaya,East Jaintia Hills,Acute Diarrhoeal Disease,160,1,2,1,2022,25.25157605,92.48405007,0.020353819,34.5,291.5333334,Diarrheal Diseases
1,2nd week,Maharashtra,Gadchiroli,Malaria,7,2,10,1,2022,19.75907035,80.16228073,0.007479299,9.0,299.97,Malaria
2,3rd week,Tamil Nadu,Pudukottai,Acute Diarrhoeal Disease,8,1,18,1,2022,10.3826515,78.8191259,0.107412975,12.0,300.7666666,Diarrheal Diseases
3,3rd week,Gujarat,Patan,Acute Diarrhoeal Disease,7,1,11,1,2022,23.77405735,71.68373466,0.065094494,9.0,299.08,Diarrheal Diseases
4,3rd week,Kerala,Ernakulam,Acute Diarrhoeal Disease,14,0,24,12,2021,9.98408,76.2741457,0.041256081,33.0,303.028,Diarrheal Diseases
5,3rd week,Tamil Nadu,Pudukottai,Acute Diarrhoeal Disease,8,1,18,1,2022,10.3826515,78.8191259,0.107412975,12.0,300.7666666,Diarrheal Diseases
6,5th week,Uttar Pradesh,Fatehpur,Acute Encephalitis Syndrome,1,1,24,1,2022,25.8435395,80.91800397,0.099030119,9.0,290.18,Encephalitis
7,6th week,Maharashtra,Gadchiroli,Malaria,1,1,9,2,2022,19.75907035,80.16228073,8.36e-05,9.0,300.0633334,Malaria
8,6th week,Odisha,Koraput,Acute Diarrhoeal Disease,15,1,11,2,2022,18.7232023,82.60811828,0.00049058,12.0,300.5566666,Diarrheal Diseases
9,7th week,Gujarat,Ahmedabad,Acute Diarrhoeal Disease,67,0,17,2,2022,23.0216238,72.5797068,7.25e-05,9.5,302.5533334,Diarrheal Diseases
10,7th week,West Bengal,Bardhaman,Acute Diarrhoeal Disease,89,0,17,2,2022,23.41146995,87.84499445,0.003711026,9.0,296.68,Diarrheal Diseases
11,7th week,Kerala,Trivandrum,Acute Diarrhoeal Disease,5,0,14,2,2022,8.4882267,76.947551,0.348763274,37.0,302.955,Diarrheal Diseases
12,8th week,West Bengal,South 24 parganas,Acute Diarrhoeal Disease,21,1,23,2,2022,22.5760669,88.42006758,0.133323552,10.0,299.22,Diarrheal Diseases
13,9th week,Kerala,Ernakulam,Acute Diarrhoeal Disease,21,0,24,2,2022,9.98408,76.2741457,0.051275566,40.0,302.8933334,Diarrheal Diseases
14,9th week,West Bengal,South 24 parganas,Acute Diarrhoeal Disease,21,1,23,2,2022,22.5760669,88.42006758,0.133323552,10.0,299.22,Diarrheal Diseases
15,9th week,West Bengal,North 24 Parganas,Acute Diarrhoeal Disease,359,1,5,3,2022,22.642931,88.8930579,0.012725571,17.5,299.72,Diarrheal Diseases
16,9th week,Kerala,Ernakulam,Acute Diarrhoeal Disease,21,0,24,2,2022,9.98408,76.2741457,0.051275566,40.0,302.8933334,Diarrheal Diseases
17,9th week,Karnataka,Tumakuru,Acute Diarrhoeal Disease,27,1,3,3,2022,13.3400771,77.1006208,6.49e-05,7.0,308.4633334,Diarrheal Diseases
18,9th week,West Bengal,South 24 Parganas,Acute Diarrhoeal Disease,21,0,23,2,2022,22.5760669,88.42006758,0.133323552,10.0,299.22,Diarrheal Diseases
19,9th week,West Bengal,North 24 Parganas,Acute Diarrhoeal Disease,359,1,5,3,2022,22.642931,88.8930579,0.012725571,17.5,299.72,Diarrheal Diseases
20,10th week,Gujarat,Navsari,Acute Diarrhoeal Disease,57,0,8,3,2022,20.952407,72.9323831,0.000137449,4.0,307.9233334,Diarrheal Diseases
21,10th week,Gujarat,Gandhinagar,Acute Diarrhoeal Disease,14,1,6,3,2022,23.2232877,72.6492267,7.1e-05,6.0,307.38,Diarrheal Diseases
22,10th week,Gujarat,Anand,Acute Gastroenteritis,24,0,5,3,2022,22.5584995,72.9625629,5.63e-05,9.0,307.34,Diarrheal Diseases
